#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
330,Flyin' HI.P.Hay,Maui Brewing Company,"Lahaina, HI",American IPA,12 oz.,6.80%,68
331,Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Pale Ale (APA),12 oz.,6%,54
332,Forest Ale,Big Wood Brewery,"Vadnais Heights, MN",American Pale Ale (APA),16 oz.,5%,N/A
333,Fountain House Light,Doylestown Brewing Company,"Doylestown, PA",Light Lager,12 oz.,4.30%,N/A
334,Four Squared,Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,6%,50
335,Fox Tail Gluten Free Ale,Joseph James Brewing Company,"Henderson, NV",American Pale Ale (APA),12 oz.,5%,50
336,Frankenlou's IPA,Seven Brides Brewery,"Silverton, OR",American IPA,16 oz.,7%,105
337,Freestyle Pilsner,Santa Fe Brewing Company,"Santa Fe, NM",German Pilsener,12 oz.,5.50%,N/A
338,Fremont Organic Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,4.50%,N/A
339,Fremont Summer Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,6.50%,45
340,Frosted Fields Winter Wheat,Great Crescent Brewery,"Aurora, IN",American Dark Wheat Ale,16 oz.,6%,25
341,Full Boar Scotch Ale,Devil's Canyon Brewery,"Belmont, CA",Scotch Ale / Wee Heavy,16 oz.,7.40%,12
342,Full Moon Belgian White Ale (2007),Mudshark Brewing Company,"Lake Havasu City, AZ",Witbier,12 oz.,8.50%,N/A
343,Full Moon Belgian White Ale,Mudshark Brewing Company,"Lake Havasu City, AZ",Witbier,12 oz.,8.50%,N/A
344,Full Nelson Pale Ale,Blue Mountain Brewery,"Afton, VA",American Pale Ale (APA),12 oz.,5.90%,60
345,Furious,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,6.20%,99
346,G'KNIGHT (12 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85
347,G'KNIGHT (16 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8.70%,85
348,Galena Golden,Sockeye Brewing Company,"Boise, ID",American Blonde Ale,12 oz.,4.30%,N/A
349,Gandhi-Bot Double IPA (12 oz.),New England Brewing Company,"Woodbridge, CT",American Double / Imperial IPA,12 oz.,8.80%,85
350,Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,"Woodbridge, CT",American Double / Imperial IPA,16 oz.,8.80%,85
351,Gangway IPA,Red Hare Brewing Company,"Marietta, GA",American IPA,12 oz.,6.20%,N/A
352,Gerry Dog Stout,Big Elm Brewing,"Sheffield, MA",American Stout,12 oz.,6.50%,N/A
353,Get Up Offa That Brown,Golden Road Brewing,"Los Angeles, CA",American Brown Ale,16 oz.,5.50%,N/A
354,Gnarly Brown,Madtree Brewing Company,"Cincinnati, OH",American Brown Ale,12 oz.,7%,N/A
